Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_Impedance
(903.5169677734375-57.45178985595703j),(255.55795288085938-61.004093170166016j),(3.395641030241012+0.5857622908534262j),(0.00013067485889603424-0.0011472575929842531j),(0.1815002590833271-0.004225906211714273j)
(897.2733764648438-63.06329345703125j),(261.0242614746094-55.275291442871094j),(3.3389412103134584+0.4654649892208442j),(0.047343615045636805-0.09234529439224733j),(0.1772930767993359-0.0019888246706924882j)
(900.2069091796875-66.22032928466797j),(258.830322265625-52.58736801147461j),(3.3900237262576565+0.43291719067088374j),(0.12802535809695015-0.1331633021628905j),(0.1788725271597906-0.004425354189337939j)
(896.514892578125-70.80673217773438j),(259.76654052734375-47.583961486816406j),(3.38749714111386+0.347942429915119j),(0.2076775405752308-0.13370759179215358j),(0.1782385058164452-0.003438159844022353j)
(896.7168579101562-68.83842468261719j),(262.3306884765625-41.12350082397461j),(3.3764314685220675+0.2668855024237814j),(0.27137355681891173-0.11134278388816594j),(0.17677246015318854-0.003928094170354745j)
(897.4116821289062-69.31281280517578j),(262.1101989746094-42.476444244384766j),(3.3779380540994777+0.282972524155579j),(0.3161153485124538-0.0804730486589586j),(0.17830182085561375-0.008024323390779341j)
(895.1497192382812-71.23188781738281j),(264.0890197753906-38.7623291015625j),(3.356846818895128+0.22298281606046078j),(0.344215165978237-0.05018593252139366j),(0.17546238990586693-0.008006104880707016j)
(893.9542236328125-72.07636260986328j),(264.66845703125-37.8800048828125j),(3.3480328099264316+0.20685176160415022j),(0.35944541717459794-0.02504488439606456j),(0.17658627979294053-0.007876818380066918j)
(895.31201171875-70.36634063720703j),(264.79608154296875-41.86091613769531j),(3.3396834012690837+0.2622239186666503j),(0.36532847757948017-0.006584839588438519j),(0.1726832133442133-0.008060631279383059j)
(892.1610717773438-70.52397918701172j),(266.4255065917969-40.62343978881836j),(3.31199326424352+0.2402944844993608j),(0.3646252119089748+0.0053981225622343155j),(0.17034989453503252-0.009621679937437405j)
(893.2698364257812-59.83339309692383j),(266.440185546875-35.89122009277344j),(3.322568968033169+0.22300562839729887j),(0.35935404270112103+0.01195408787711881j),(0.16545596152714415-0.008381900087781459j)
(889.1898803710938-60.37798309326172j),(269.7217712402344-35.38271713256836j),(3.269789422500969+0.2050855994004485j),(0.35097519617454137+0.014427357463564295j),(0.1642967480517077-0.01057941674976118j)
(888.6907958984375-58.1800651550293j),(271.3303527832031-37.32283020019531j),(3.243434236525563+0.23172519946764567j),(0.34057677336813985+0.014143009647433199j),(0.15945200797179032-0.012199243517406361j)
(884.906982421875-59.503334045410156j),(274.872802734375-37.14112091064453j),(3.1903348614042137+0.21460573108956427j),(0.3290087817277723+0.012247284049896431j),(0.15506492080546427-0.012075458705316731j)
(884.4574584960938-56.597496032714844j),(276.20196533203125-39.648719787597656j),(3.166379939363664+0.24961956675907074j),(0.3169616491397991+0.009643668974486704j),(0.150885261826359-0.012122879256893707j)
(881.0746459960938-32.993709564208984j),(280.6475524902344-33.97985076904297j),(3.1081053337229427+0.25875602764321287j),(0.3050038915558469+0.006986727251147967j),(0.14965918559061245-0.010234091514627971j)
(878.1576538085938-32.54376220703125j),(284.6499328613281-35.4578971862793j),(3.0519295392527486+0.26583966085959326j),(0.2935961754311939+0.00470845088738033j),(0.14481585582872655-0.010070043435237203j)
(875.161865234375-33.152259826660156j),(287.5334777832031-36.49910354614258j),(3.009824175930605+0.2667641521873424j),(0.28309530745707867+0.0030598753228902806j),(0.13927519390316398-0.01027128544325158j)
(872.3557739257812-34.21434783935547j),(289.301025390625-33.338226318359375j),(2.989322798554709+0.22621548634031766j),(0.27375652419513424+0.0021561284419010815j),(0.13881873717790708-0.009033102745621581j)
(867.8831787109375-34.111881256103516j),(293.93072509765625-33.81291198730469j),(2.927291507814745+0.2206927119894283j),(0.26573806186629945+0.0020173031570161763j),(0.13421021584162976-0.009702495934515764j)
(863.711181640625-33.78947448730469j),(297.8862609863281-34.165000915527344j),(2.8746621994009782+0.2162683232645576j),(0.25910908249408293+0.0026009865893698338j),(0.1307200185514967-0.008397484210512809j)
(861.9246215820312+6.520549774169922j),(301.3301086425781-18.918956756591797j),(2.8478154154252686+0.20043880361453456j),(0.25386053618988796+0.003825028220494472j),(0.12959744615271152-0.008161425018382058j)
(859.677490234375+8.311574935913086j),(304.41119384765625-19.86280059814453j),(2.8103199707961517+0.2106768786068876j),(0.24991802791967613+0.005581161874007305j),(0.12633298881539484-0.009487002656966993j)
(856.5047607421875+6.735439300537109j),(307.2991027832031-16.924041748046875j),(2.777570543910281+0.17488876035455042j),(0.2471557588350904+0.007741420984896009j),(0.12525550122258988-0.007076823431478784j)
(855.5486450195312+5.665205001831055j),(308.5908203125-16.717008590698242j),(2.7633332926765415+0.16805383692862425j),(0.24541076653770258+0.010159965703028172j),(0.12226143557500778-0.005853634130897117j)
(852.4277954101562+7.935087203979492j),(311.3699035644531-19.372440338134766j),(2.725533291070211+0.19505840988342385j),(0.24449680364790838+0.01267307178203126j),(0.11938719438006035-0.006003389701372443j)
(850.0302734375+2.922506332397461j),(312.3146057128906-14.180558204650879j),(2.715688052026052+0.13266263588682928j),(0.2442172339727974+0.01509972943310193j),(0.11896128076708858-0.005151557073460453j)
(848.6569213867188-8.921470642089844j),(315.7205810546875-16.27864646911621j),(2.6823260953376495+0.1100440378727753j),(0.24437635758824341+0.017244688326867003j),(0.11752640741329347-0.0047514240813185445j)
(846.1454467773438-9.464691162109375j),(317.67724609375-15.37141227722168j),(2.6587547877484243+0.0988554427821405j),(0.24478870275556153+0.01890499080127448j),(0.11471497154536271-0.004723771211019982j)
(846.019287109375-10.924516677856445j),(317.25677490234375-14.706260681152344j),(2.662545594395719+0.08898650916901868j),(0.2452861195053909+0.019880184999214234j),(0.11273462701050782-0.004937210469383854j)
(845.3132934570312-13.76713752746582j),(318.70892333984375-11.363265991210938j),(2.6504758881543706+0.05130363097956979j),(0.24572298379401056+0.019985612613919224j),(0.11054655066374462-0.004445480980500427j)
(844.3196411132812-16.162925720214844j),(319.62017822265625-9.132566452026367j),(2.640923149450614+0.0248904198761057j),(0.24598039585149614+0.019067499928868498j),(0.10911662858287423-0.004016830332327799j)
(843.4910278320312-35.29414367675781j),(319.32293701171875-19.63729476928711j),(2.6383178141363017+0.05171968255412826j),(0.24597078545901002+0.017018086668716608j),(0.10767345121913177-0.004230948436792127j)
(844.2510375976562-38.15140914916992j),(319.7321472167969-16.22460174560547j),(2.6397523275417853+0.014629498825649822j),(0.24564464110562648+0.01378872274331445j),(0.10538092403490673-0.0032051537262693295j)
(843.8629760742188-41.43315887451172j),(319.5177917480469-12.90112018585205j),(2.64198023818154-0.022999202181768867j),(0.24500099873108158+0.009398777642690226j),(0.104657901899507-0.002979082975164616j)
(843.4389038085938-45.28839111328125j),(319.8304748535156-9.29952335357666j),(2.6390297642167657-0.0648677153096985j),(0.2441027763798737+0.003938424906076109j),(0.10399029723153837-0.0016457671495455582j)
(841.8236694335938-52.9884147644043j),(320.1192626953125+0.2637147903442383j),(2.629580735402567-0.16769335792150786j),(0.24309707645866635-0.002435946857472292j),(0.1009020338595924-0.0009636964996015407j)
(846.3638305664062-64.93745422363281j),(317.287353515625+11.78724479675293j),(2.6562301834553863-0.30334360498804325j),(0.2422394272323801-0.009513538560380107j),(0.10210790746097442+0.00024248293988546124j)
(854.5335693359375-79.80677795410156j),(309.3322448730469+27.333223342895508j),(2.718487812220885-0.4982080434056381j),(0.2419200029763141-0.017045612153981118j),(0.101761811874189+0.0017374463035634013j)
(867.3338623046875-94.57559204101562j),(296.4748229980469+43.087127685546875j),(2.819575358346623-0.7287735037337101j),(0.2426896304562701-0.02476050565316105j),
(885.87548828125-105.536376953125j),(276.790283203125+56.024898529052734j),(3.000427728849808-0.9886005853929566j),(0.24528418001749716-0.03236624381717171j),
(906.5332641601562-108.6688232421875j),(255.02928161621094+67.8878402709961j),(3.2134879303191846-1.2815217785866022j),(0.2506474789510675-0.03952374890038629j),
(922.4727783203125-95.75006103515625j),(233.7266082763672+75.85559844970703j),(3.450408533818326-1.5294915196014836j),(0.25995364347612626-0.04576630309702353j),
(931.72802734375-50.631256103515625j),(213.55551147460938+80.13508605957031j),(3.7464414744760357-1.642910846248568j),(0.2746259926996241-0.050331822661406636j),
(931.915283203125+16.699817657470703j),(197.7223663330078+102.37651824951172j),(3.751282762573384-1.8578750464958287j),(0.2963342831251174-0.051863124096769714j),
(927.0320434570312+142.4465789794922j),(163.6271209716797+124.76335906982422j),(4.002380177300032-2.1812020775988032j),(0.32691230051450426-0.047919082960436406j),
(882.2067260742188+312.59002685546875j),(126.75602722167969+138.47584533691406j),(4.401235072027456-2.3420954946056494j),(0.36805358475339495-0.03423640792362019j),
(798.7315063476562+469.3468017578125j),(88.35218811035156+141.18406677246094j),(4.932900269333077-2.570396094389332j),(0.42048614085983693-0.0037228109894463387j),
