Voltage_measured,Current_measured,Temperature_measured,Current_load,Voltage_load,Time
4.180487517962948,-0.004097548504036378,5.21139627291658,0.0004,0.0,0.0
4.180324432360995,-0.0015399592856934418,5.23866932759189,0.0004,4.196,9.375
3.805047061569659,-1.9937626485019533,5.29209168464887,1.9982,2.713,20.952999999999996
3.778946426748034,-1.9937889355406353,5.422628351659535,1.9982,2.691,31.749999999999996
3.758415515965506,-1.9945525514035447,5.528817440600506,1.9982,2.677,42.577999999999996
3.7403845037161374,-1.9936562859220561,5.6508704762549105,1.9982,2.663,53.358999999999995
3.7242928231283665,-1.9916904139277716,5.77987005287552,1.9982,2.648,64.14
3.7088820153207234,-1.9921283656278341,5.844410751975306,1.9982,2.635,74.953
3.694387102279694,-1.9921686516245525,6.0319475852120465,1.9982,2.624,85.812
3.6803837639685155,-1.9935926454114443,6.172667982848384,1.9982,2.608,96.609
3.667443479016938,-1.9947926638091051,6.246285125611138,1.9982,2.596,107.422
3.6545935121129043,-1.992644811807376,6.380331907613847,1.9984,2.584,118.281
3.6426410135056297,-1.9936989281533022,6.495952539920051,1.9982,2.573,129.047
3.631354021239822,-1.9947804952003128,6.613032077464261,1.9982,2.562,139.85899999999998
3.62076411973982,-1.9941322431925195,6.75565688986527,1.9982,2.55,150.656
3.6107013907729257,-1.9941563410635448,6.869603174394358,1.9982,2.541,161.5
3.6013844677943516,-1.9947211670201705,6.996089163655596,1.9982,2.532,172.343
3.5927390076531975,-1.9911967895426046,7.111883573510148,1.9982,2.525,183.10899999999998
3.5848390914820887,-1.991371422991561,7.254117128972363,1.9982,2.518,193.922
3.5775573553666065,-1.9914555185847251,7.328772332922198,1.9982,2.51,204.75
3.5709597306334078,-1.9937320545705914,7.4499843173476155,1.9982,2.504,215.547
3.564589037451078,-1.9930455380783534,7.581790929112782,1.9984,2.498,226.312
3.5588303978231375,-1.9939760247958154,7.658108555557568,1.9982,2.493,237.172
3.553523152011114,-1.9932205126919549,7.7756362282735845,1.9982,2.488,247.98399999999998
3.5485231624343694,-1.9954283207406358,7.917271007174213,1.9982,2.484,258.75
3.5440668979889467,-1.9962361642988637,7.972420305933238,1.9982,2.48,269.562
3.539806793494422,-1.9943204837908501,8.055219282688926,1.9982,2.476,280.343
3.5359300735821164,-1.997218223051599,8.168359890242467,1.9982,2.472,291.172
3.5318310223855898,-1.9942083597760933,8.264719860195774,1.9982,2.468,302.015
3.528270761212097,-1.9932411482590844,8.362677139586339,1.9982,2.465,312.812
3.5249473159499853,-1.9910765534587913,8.425245188980094,1.9982,2.462,323.672
3.5216421553269095,-1.9934416897300768,8.493391925162701,1.9982,2.458,334.484
3.5181934491727263,-1.994440348586093,8.586890407178647,1.9982,2.456,345.297
3.5151105232442448,-1.9957088793606275,8.695636459692889,1.9982,2.453,356.062
3.5120416647870694,-1.9935768997001102,8.770258221334053,1.9982,2.45,366.812
3.509080034069157,-1.9929212549663948,8.863430052474353,1.9982,2.447,377.562
3.5062588822062413,-1.9932644992508215,8.888666307557918,1.9982,2.444,388.359
3.503355344466137,-1.9946319719032028,8.949894160145806,1.9982,2.442,399.187
3.500598826497188,-1.9928767300609354,9.049663608428084,1.9982,2.438,410.0
3.4978815116974173,-1.993524730170666,9.059122253457371,1.9982,2.436,420.843
3.4952570036683457,-1.9918759257678968,9.149013141954045,1.9982,2.432,431.672
3.4923128917594988,-1.9943041413031777,9.189182617657838,1.9982,2.43,442.468
3.489732270198948,-1.9931460800590954,9.226274903682079,1.9982,2.428,453.234
3.486968531644266,-1.9928689795998047,9.329503934234674,1.9982,2.426,464.015
3.484295517538683,-1.9932619412673853,9.302084081802604,1.9982,2.424,474.828
3.481619717724659,-1.9949625100400605,9.375249622616654,1.9982,2.422,485.718
3.4789948767833963,-1.993685557673476,9.437165733971229,1.9984,2.419,496.547
3.4764446145288095,-1.9950838986278951,9.476837668092793,1.9984,2.417,507.312
3.4739951172220844,-1.9937394528755559,9.544302559040991,1.9982,2.414,518.047
3.47138747948375,-1.9941729614810264,9.558406925253964,1.9982,2.412,528.843
3.468913948556087,-1.9921855553511931,9.594484539484618,1.9982,2.409,539.578
3.466094079554974,-1.993339345398067,9.6460154532011,1.9982,2.406,550.343
3.463537619282895,-1.9927651173272838,9.761748129146834,1.9982,2.404,561.172
3.461211637410863,-1.9956444862747345,9.779286474731196,1.9982,2.401,572.015
