Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_Impedance
(841.48779296875-31.512859344482422j),(316.4372253417969-86.99517822265625j),(2.497844327798133+0.5871229370188364j),(0.16937162316359883-0.12620884619100212j),(0.08080261350591648-0.00029442756049905526j)
(833.2981567382812-43.8100700378418j),(324.6646423339844-74.2690658569336j),(2.468343999375745+0.4297096598090467j),(0.18637055502170446-0.10035177515695132j),(0.07900093456296593-0.0008059857179837515j)
(837.2523193359375-50.229976654052734j),(320.60821533203125-67.97483825683594j),(2.53089865106441+0.37992616524298184j),(0.1969579470250995-0.0775841512965711j),(0.08052714500302006-0.0010555645608442542j)
(834.846923828125-56.43879699707031j),(323.13671875-58.616905212402344j),(2.531939332458659+0.2846338578079412j),(0.2031229610949614-0.05849221694080896j),(0.0782079927040495-0.0005710978595343926j)
(834.0731201171875-57.02765655517578j),(324.8678894042969-53.896095275878906j),(2.5269937229021298+0.24369117563780449j),(0.2063784447026197-0.0430690882423873j),(0.07918231621857376-0.00019227536699406486j)
(834.8578491210938-59.52926254272461j),(323.37493896484375-51.25169372558594j),(2.5469025475478233+0.21957114858807994j),(0.207802535455343-0.030997566092282013j),(0.07655256540824526-0.00048311832989605155j)
(833.3283081054688-64.09257507324219j),(327.91693115234375-47.30510330200195j),(2.5170920776427916+0.1676605275826967j),(0.2081252313952646-0.021825035429987275j),(0.07854403728122955-0.0008501446639511489j)
(831.1085205078125-66.34375j),(327.8190612792969-42.779029846191406j),(2.5187828652966804+0.1263115610453285j),(0.20781895879771992-0.015063628601108695j),(0.07715448073879741-0.0011978176240780378j)
(829.4940185546875-69.18807983398438j),(331.3675231933594-41.788978576660156j),(2.4899757936664617+0.10521690516907141j),(0.2071761334968198-0.01024320043169825j),(0.07864806087338672-0.00036594307437621876j)
(830.3092041015625-69.69152069091797j),(328.9580078125-42.60344696044922j),(2.5094057437118735+0.1131384946700277j),(0.2063690813607421-0.006936537582998069j),(0.07664668727187551-0.0001428056106186786j)
(829.830810546875-59.48967742919922j),(331.5644836425781-37.19781494140625j),(2.4915431950287994+0.10010205222638012j),(0.2054932758704324-0.004769221999833061j),(0.07917085220792153-0.0009689886422124959j)
(830.030029296875-62.62834167480469j),(330.977783203125-33.47930908203125j),(2.501358667957085+0.06379708659112553j),(0.2045968875399939-0.003421542112122651j),(0.07876080733048432-0.001769338551192191j)
(828.560302734375-63.57275390625j),(333.6235046386719-32.75539779663086j),(2.4783377169988667+0.05277261237187131j),(0.20369999270967704-0.0026265937933959826j),(0.07401224017545395-0.0009766464227767197j)
