Voltage_measured,Current_measured,Temperature_measured,Current_load,Voltage_load,Time
4.176859724330072,-0.0031572843420988902,5.4401284420509874,0.0004,0.0,0.0
4.1763728871161625,-0.0011858410030944927,5.468312598092052,0.0006,4.192,9.375000000000002
3.9879603532647487,-1.0081746162092846,5.492638754911392,0.9988,3.497,23.984
3.9644642341664014,-1.0070463566389591,5.553100747141043,0.9988,3.468,37.891000000000005
3.946314192596534,-1.0056891300219597,5.631299247872919,0.9988,3.45,51.719
3.9312958685960497,-1.0059645934543968,5.700761718677946,0.9988,3.436,65.609
3.9179535913321932,-1.0065903929241644,5.774420970795365,0.999,3.425,79.453
3.9063271579042826,-1.0069646490920778,5.83592512338755,0.9988,3.415,93.344
3.8956038264486192,-1.0053700198980167,5.91854788502347,0.9988,3.406,107.125
3.8863526501960926,-1.0072872297429305,5.983541584782137,0.9988,3.397,120.906
3.8778238380647845,-1.0062659892989085,6.087844821391263,0.9988,3.389,134.688
3.869933135006658,-1.0073515592699456,6.160690660617491,0.9988,3.383,148.484
3.862937469470514,-1.0074392205558047,6.237020256739972,0.9988,3.377,162.25
3.8564581236639612,-1.0081330759487253,6.3038729635905195,0.9988,3.371,176.078
3.850217691089539,-1.006175695308671,6.381129609307684,0.9988,3.365,189.875
3.8445808146147455,-1.006977950419107,6.478476129927633,0.9988,3.361,203.672
3.839318074010352,-1.0070436360344839,6.544432450670621,0.9988,3.356,217.51600000000002
3.834648203515778,-1.0064156266791304,6.617453375081462,0.9988,3.352,231.328
3.829796314577811,-1.0055136930826822,6.706997623053478,0.9988,3.348,245.094
3.8251408393219704,-1.0074162706822893,6.782912136035342,0.9988,3.344,258.906
3.820935812802958,-1.0096887080917505,6.856731602157143,0.9988,3.34,272.641
3.8167431805915446,-1.0081974138057417,6.920397172835681,0.9988,3.337,286.438
3.8123906376315357,-1.0064105934578569,7.002873843707882,0.9988,3.333,300.25
3.8081293214013225,-1.0074603781118172,7.088586466224337,0.9988,3.33,314.016
3.803982220592508,-1.0056622023178494,7.160390981691686,0.9988,3.326,327.797
3.7999115167847046,-1.0064431166723207,7.227008297617054,0.9988,3.322,341.719
3.795689379712193,-1.0066610051462124,7.274520316767922,0.9988,3.318,355.531
3.791533478049419,-1.0093191584240333,7.31977341909975,0.9988,3.315,369.406
3.787449964607448,-1.007700632109496,7.3724755595415585,0.9988,3.311,383.203
3.7832989918451245,-1.0070242719931035,7.439068819351147,0.9988,3.306,396.984
