Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_Impedance
(-1+1j),(-1+1j),(1+0j),(-0.10387724073654642-0.3797821915589447j),(0.05966070548653777-0.00027122208594206726j)
(790.348388671875-24.779123306274414j),(368.28863525390625-94.90119934082031j),(2.028638730848802+0.4554610412153284j),(0.19702375701356786-0.05548609237805343j),(0.061935184641753134-0.0008511393398922299j)
(812.563720703125-45.980377197265625j),(346.51641845703125-72.60663604736328j),(2.272961434585097+0.3435672888559244j),(0.0330212226967353+0.046563352847905796j),(0.058375106959658786+4.3733720069173114e-05j)
(813.2973022460938-52.6385498046875j),(346.9718017578125-65.80502319335938j),(2.290376238507536+0.28267343684683655j),(0.017595601594286303-0.05223073768413263j),(0.05916693798316927-0.0008498287853136805j)
(816.408203125-51.72438049316406j),(343.99188232421875-58.849205017089844j),(2.3308419372506544+0.24838904324491637j),(0.11736281347287943-0.0714463828622456j),(0.05926426956088815-0.000529699033604442j)
(811.6289672851562-58.171173095703125j),(349.50335693359375-52.72051239013672j),(2.2951185476267275+0.1797655200868984j),(0.19448982406358037-0.009890104552637438j),(0.05887849682696905-0.0002693143170067613j)
(810.6906127929688-58.447750091552734j),(348.5475769042969-52.53187942504883j),(2.298962468675446+0.1788021872627458j),(0.22271392800692089+0.06358956601900699j),(0.05647907030936297-0.00027487125940185654j)
(810.9352416992188-62.53797149658203j),(350.572021484375-48.27458572387695j),(2.294238595515401+0.1375336401618753j),(0.22445285038642115+0.11460669366574795j),(0.05805620740123281-0.000637650729248357j)
(809.0538330078125-65.4707260131836j),(351.4549560546875-44.05512619018555j),(2.289391065359123+0.10069195400502279j),(0.21990914144829518+0.13778259119745986j),(0.058147152607529035-0.0005953210058272362j)
(805.3267211914062-66.80239868164062j),(354.4900817871094-44.08436584472656j),(2.260268395145503+0.09264039205742569j),(0.21706733285276178+0.13796574151376037j),(0.058293750470406455-0.000901943647545015j)
(807.4906005859375-57.43436813354492j),(353.3609619140625-38.54631805419922j),(2.2758212992732556+0.0857201750263785j),(0.21585816176930347+0.1217434707010005j),(0.057881751286428404-0.0006901608788892613j)
(807.3229370117188-59.20581817626953j),(354.33062744140625-37.87990188598633j),(2.2703608348721938+0.07562210381857593j),(0.21332659449538144+0.09545954486649309j),(0.05763865085413086-0.0007256477748045257j)
(807.2928466796875-60.089324951171875j),(354.0846862792969-39.19855499267578j),(2.2708989874744168+0.08169411164350354j),(0.20690319830674653+0.06491860311165802j),(0.05695769979928205-0.0010405401468261868j)
(803.7689819335938-59.67207717895508j),(354.2583923339844-36.57044219970703j),(2.2621591949780067+0.06508267808596414j),(0.19578357201020466+0.034993252041219586j),(0.05601190441149942-0.0008142366263317087j)
(804.6753540039062-60.48229217529297j),(354.7740783691406-35.57841110229492j),(2.2624774447463003+0.056410717929445645j),(0.18093411341541596+0.009104348796766172j),(0.05734321233217006-0.0006690641447514268j)
(806.6544799804688-39.8304557800293j),(358.24853515625-28.70911407470703j),(2.24614662459276+0.06881932924909072j),(0.16436207955510887-0.011031020580514622j),(0.05666455897903538-0.0008854164429437343j)
(805.4983520507812-39.89689636230469j),(358.6116027832031-26.66476058959961j),(2.242034780598866+0.0554539344002815j),(0.14825458706949224-0.02520522328525808j),(0.05639550978288038-0.0003995211753804961j)
(805.3512573242188-42.32855224609375j),(357.671630859375-26.943159103393555j),(2.2478094233464425+0.050981216031656694j),(0.1343779767215735-0.03420295844699397j),(0.05416948894748698-0.0011245357019293598j)
(803.636962890625-40.97760772705078j),(358.12261962890625-26.27976417541504j),(2.24035983538833+0.04997874871342388j),(0.12384685384507566-0.03921070355582137j),(0.05435493975071613-0.0008154235857040804j)
(803.43603515625-42.587921142578125j),(360.58612060546875-24.835391998291016j),(2.2257154712897953+0.03518880605348661j),(0.11716888601997336-0.04134885914047898j),(0.05254004318348771-0.0011283603607274j)
(801.3302001953125-40.407684326171875j),(361.9039001464844-26.930770874023438j),(2.210276380706393+0.052822758868197005j),(0.11440473801059772-0.0414036473628437j),(0.05212871282933981-0.0011198180511139437j)
(800.7083129882812-2.220867156982422j),(363.50543212890625-8.577428817749023j),(2.201659282898384+0.04584170455286496j),(0.11531726874382815-0.03974509989151283j),(0.051550189337717586-0.0010900785505083097j)
(800.2788696289062-1.2225990295410156j),(365.9980773925781-9.204981803894043j),(2.185267518283124+0.05161980316260248j),(0.11945592313751942-0.03638198087246885j),(0.0505771637208048-0.0013668293907258284j)
(799.1590576171875-1.11273193359375j),(366.20037841796875-8.490517616271973j),(2.181197838975589+0.047533448266772j),(0.12618481947669316-0.03110465432571124j),(0.04898397970640138-0.0015918756083944086j)
(798.1209716796875-2.6102848052978516j),(366.6684265136719-8.71349811553955j),(2.175623653865199+0.0445825345754724j),(0.13469705177200408-0.02367428784286746j),(0.048458333979572686-0.0012199884372649493j)
(796.8572387695312-1.9468536376953125j),(368.61474609375-7.939479827880859j),(2.16087299167285+0.04126083953905533j),(0.14406068637671124-0.014016960385504314j),(0.046899204819567095-0.0014141377036149514j)
(795.3143310546875-1.9950180053710938j),(369.97271728515625-10.112765312194824j),(2.1481990947671963+0.053326135582783124j),(0.15331956585393347-0.002377390233165028j),(0.045750607069325364-0.0011209193877973274j)
(794.7286376953125-13.105741500854492j),(370.3710632324219-12.607526779174805j),(2.1444829405645374+0.03761331805518048j),(0.16163640257410247+0.010608905734580384j),(0.04530353190650504-0.0016931827133429916j)
(793.295166015625-12.70296859741211j),(372.2344665527344-12.496809005737305j),(2.129915697311612+0.03738015235147945j),(0.168433942047913+0.023946095696070632j),(0.04355647676423412-0.001335620356509777j)
(792.1935424804688-14.849199295043945j),(372.0945129394531-10.45222282409668j),(2.128453140535754+0.019881688504468475j),(0.17347858375119787+0.036400349773647485j),(0.043511735598398486-0.0010643212408496415j)
