Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_Impedance
(884.0521240234375-42.63953399658203j),(272.86932373046875-76.54902648925781j),(3.0441057010614485+0.6977105060667292j),(0.10623027322954869-0.11016086990679574j),(0.12492570676444928-0.004151779336800421j)
(876.8558349609375-50.26831817626953j),(280.78961181640625-69.36766052246094j),(2.9848779510372925+0.5583742262330496j),(0.1543195613742904-0.1084789197961492j),(0.1262897518958531-0.004296402430808059j)
(877.7515258789062-57.09762954711914j),(280.5091247558594-60.489349365234375j),(3.0320376563943205+0.4502825198609694j),(0.19447550840388167-0.09581208086430681j),(0.12412578574566184-0.0025661265397282054j)
(875.9415893554688-62.74734115600586j),(282.1927795410156-56.040260314941406j),(3.0287646263507266+0.3791217376694969j),(0.22538966540854058-0.07816067819474255j),(0.12330046100159125-0.0017683122096785976j)
(876.0060424804688-59.89482879638672j),(281.03778076171875-49.434715270996094j),(3.0598531247818+0.3251098089040804j),(0.24777007005782473-0.059665156448699526j),(0.12325326318498961-0.0024440042463694566j)
(874.6741943359375-64.45065307617188j),(283.4369812011719-44.91712188720703j),(3.0455076544123707+0.25524116556315996j),(0.26307804849262617-0.04277817658887765j),(0.12248464369819659-0.0031477001982561487j)
(873.7623901367188-69.7360610961914j),(285.17279052734375-41.71315383911133j),(3.0348124850267535+0.19937224326152442j),(0.2728620740627693-0.028694282740150342j),(0.11934779572171514-0.0015471786870933082j)
(871.646728515625-70.33021545410156j),(286.3133544921875-41.13897705078125j),(3.017380109675884+0.18791200196289315j),(0.27847469997258384-0.01777514314608731j),(0.12017567318457789-0.0027544066745872663j)
(870.6395874023438-70.97328186035156j),(286.55352783203125-39.40019226074219j),(3.015362495679667+0.16692371776799997j),(0.28099761422862635-0.009884028902352154j),(0.12014785870158068-0.0030199610379809004j)
(867.9776000976562-72.42063903808594j),(290.1949462890625-37.10336685180664j),(2.974301396565683+0.13072576656363788j),(0.2812615933624515-0.004621082231833553j),(0.11890610221802711-0.002804468222683793j)
(871.41162109375-63.48098373413086j),(290.69378662109375-34.409950256347656j),(2.9817656487684583+0.13457949814067058j),(0.27989813125570895-0.0014774196072486465j),(0.11986323508157418-0.0024264335925136774j)
(868.7791137695312-63.00027847290039j),(291.02545166015625-33.754947662353516j),(2.9703824929578952+0.1280466258242608j),(0.27739217606869665+6.981821744632183e-05j),(0.1192436377669025-0.0023735404863619485j)
(867.9205932617188-63.02599334716797j),(292.2740173339844-33.46620559692383j),(2.9554864452392158+0.12277151419561678j),(0.27412416696905045+0.0005029401284848157j),(0.11917683224344051-0.002127849728171484j)
(867.0892944335938-64.95875549316406j),(292.09521484375-31.557497024536133j),(2.958015635741691+0.09719027456670828j),(0.2703991621732271+0.00023607165696883686j),(0.11915910499131464-0.0010733907645133324j)
(868.3994140625-64.75154113769531j),(292.7517395019531-30.691513061523438j),(2.957021589125628+0.08882586191426269j),(0.2664650345281135-0.0003951277316100149j),(0.1170365344927819-0.0016135868215267455j)
(867.477294921875-44.813621520996094j),(293.4726867675781-23.188255310058594j),(2.949555739102703+0.0803530654532146j),(0.262522965761538-0.0011330087732076138j),(0.11616964144527996-0.002107354057022751j)
(866.3062744140625-46.22001647949219j),(293.52740478515625-20.81325912475586j),(2.9477089071578244+0.05155025589726375j),(0.25873330879496304-0.0017913391574479744j),(0.11599885882259278-0.0011162143932515799j)
(865.7777709960938-45.70074462890625j),(295.9435119628906-22.579301834106445j),(2.920266022690158+0.06838069602903792j),(0.2552191749595732-0.0022457676263551592j),(0.11085895670356193-0.002030990411458402j)
(864.5083618164062-45.546321868896484j),(296.28271484375-22.782989501953125j),(2.9124490435287784+0.0702301318042349j),(0.25206929893206464-0.0024235037529669384j),(0.11504405604043558-0.0015569118580509695j)
(864.141845703125-46.45712661743164j),(298.09466552734375-22.206527709960938j),(2.8944311498306887+0.059773424272240895j),(0.24934105071746593-0.0022935717472318353j),(0.11298395138110777-0.0015263481738515999j)
(860.70068359375-46.073280334472656j),(301.4990234375-22.18539047241211j),(2.850548058088007+0.056939625206264034j),(0.2470639689500723-0.0018583704522201607j),(0.11272690500390745-0.002474970318407531j)
(863.4599609375-3.6309242248535156j),(299.5840759277344-6.598177909851074j),(2.881065180903295+0.051334024884331225j),(0.24524387469645728-0.0011467940398273925j),(0.11112760731105549-0.0016573612228870387j)
(863.1697387695312-4.404169082641602j),(301.07598876953125-6.265021324157715j),(2.866013171533788+0.04501011391747978j),(0.24386744915194175-0.00020882705924546975j),(0.11061175744052319-0.002632293418157949j)
(862.39794921875-4.100639343261719j),(301.3917236328125-7.784411430358887j),(2.859829264609265+0.0602586164415175j),(0.2429070763118808+0.0008886873720149022j),(0.11003213432436314-0.0017842911460019917j)
(861.2259521484375-4.871423721313477j),(302.6824951171875-6.233238220214844j),(2.8444365438642514+0.04248222829634929j),(0.24232572614520603+0.002065510915242024j),(0.10764282689676452-0.0016772659097945162j)
(860.5628051757812-5.02923583984375j),(304.2162170410156-6.49366569519043j),(2.82785117212973+0.043830287673064454j),(0.24208166220547975+0.0032311205733724325j),(0.10844430435953684-0.0014795083476428765j)
(860.1488647460938-6.188922882080078j),(303.6745300292969-4.699816703796387j),(2.832106628932952+0.023450959679840275j),(0.24213278976858305+0.004287822752497707j),(0.10677640424201036-0.0013874630705710132j)
(858.4508056640625-17.055795669555664j),(305.3717346191406-8.649253845214844j),(2.81049383451217+0.023750983189708495j),(0.2424405141480202+0.005134120921305057j),(0.10721228272144047-0.002508544669077538j)
(858.81591796875-18.13001823425293j),(304.4566345214844-6.755836486816406j),(2.820747725298967+0.003043100604072508j),(0.24297305368712405+0.005668457374261908j),(0.10572000102845179-0.0015674398494893525j)
(859.6213989257812-19.059568405151367j),(304.5917053222656-5.990093231201172j),(2.8223478625167355-0.007069928498270757j),(0.24370824534243615+0.0057933180606577865j),(0.10552504450568938-0.0014914096156799976j)
(858.96923828125-20.783031463623047j),(304.0247802734375-4.892417907714844j),(2.825694720338773-0.02288810802147074j),(0.24463598462455144+0.005419574122870607j),(0.104570251498849-0.0015667961051017j)
(861.18359375-23.039941787719727j),(302.6767883300781-1.916250228881836j),(2.8455929589691427-0.05810512833118652j),(0.24576054210462933+0.004470849025542947j),(0.10386144556970402-0.00157296259845164j)
