Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_Impedance
(912.6824340820312-50.68621063232422j),(244.2539825439453-67.60186767578125j),(3.52409667719374+0.7678454396633806j),(0.024811490619854038+0.07216259042021882j),(0.18989821322449116-0.010551908331210853j)
(902.7981567382812-57.73584747314453j),(255.02593994140625-60.66264343261719j),(3.401419188123069+0.5826984970037554j),(0.010861196099317613-0.05461829203673554j),(0.18828477005004612-0.014425144390230012j)
(906.308837890625-61.91743850708008j),(251.04905700683594-58.04715347290039j),(3.481011497970004+0.5582389825614821j),(0.09174339158446485-0.12878174253334485j),(0.18300313390510622-0.015854343472870826j)
(905.166748046875-64.19232177734375j),(253.6667022705078-52.70710754394531j),(3.471055913919157+0.46816154625607614j),(0.1915451470093775-0.13654550416337585j),(0.1827661981901514-0.017739681364672508j)
(906.9230346679688-57.80525207519531j),(252.53692626953125-52.911659240722656j),(3.486169300316294+0.5015256654523153j),(0.27186544375356425-0.10349358667716461j),(0.17578183627300226-0.01717867845426773j)
(901.0274047851562-57.14728927612305j),(256.44287109375-54.26061248779297j),(3.408129528941956+0.4982782553362041j),(0.32371787154653425-0.05658262685013056j),(0.17086482159302024-0.01810074588939601j)
(900.1775512695312-57.52796173095703j),(257.77899169921875-54.328041076660156j),(3.3885736161994595+0.490988827471613j),(0.3513469630213684-0.0127661679782481j),(0.1643331296581939-0.019091923982496307j)
(896.7135009765625-56.91783142089844j),(262.6814880371094-53.33135223388672j),(3.320800251368712+0.4575310478911525j),(0.3620197484192796+0.020368935536295655j),(0.15510128043762275-0.019112903901409198j)
(892.0621948242188-54.68987274169922j),(267.33465576171875-54.35064697265625j),(3.244365683946889+0.45502331469183754j),(0.36185515695203385+0.04115528761199309j),(0.15190851753882634-0.018727077840479618j)
(885.47021484375-55.82559585571289j),(270.9590759277344-56.489540100097656j),(3.1729553023080137+0.45546800566572576j),(0.35495529537395293+0.05093185631748937j),(0.14329691563743288-0.015386624749682495j)
(881.1499633789062-42.90412902832031j),(278.9924011230469-54.96315002441406j),(3.0694945112185064+0.45092611047643877j),(0.3437999217016207+0.052228274518916026j),(0.13942536903510247-0.015004579630998223j)
(875.962646484375-43.184242248535156j),(282.0096435546875-53.949058532714844j),(3.0247433827880656+0.42550961748465904j),(0.3298858967992256+0.047780431369272285j),(0.13210361197277412-0.014310838925957648j)
(869.1676025390625-43.72056579589844j),(290.11083984375-50.79742431640625j),(2.932466198262271+0.36276191550591624j),(0.31423127331398837+0.04004317053528686j),(0.132905512966192-0.012937070911321734j)
(866.3260498046875-44.567649841308594j),(293.6639099121094-52.45519256591797j),(2.8851150305413795+0.3635843937803574j),(0.2976670533673651+0.030979023706787106j),(0.1284940850552172-0.011798657458565986j)
(859.6442260742188-44.562767028808594j),(300.49267578125-52.577274322509766j),(2.8009797120205113+0.34178906821890265j),(0.2809560616389303+0.022002997984869387j),(0.12326642900799085-0.010049414101202163j)
(859.8667602539062-26.60751724243164j),(301.8934631347656-41.4795036315918j),(2.8073575778536117+0.2975893570879313j),(0.2648068196777535+0.014019314624989567j),(0.1211069322928245-0.009620612904895427j)
(855.4573364257812-26.64246368408203j),(306.7258605957031-40.91045379638672j),(2.7516311657743784+0.2801459773269348j),(0.2498419867373242+0.007510149900786375j),(0.11896915344031525-0.00845848008057196j)
(850.955078125-28.622365951538086j),(312.0700988769531-38.910491943359375j),(2.696325228870517+0.24447383910749662j),(0.23656071848441396+0.0026465302149318464j),(0.1142684910146865-0.008743121322680819j)
(848.1563720703125-29.864906311035156j),(314.2900695800781-38.43985366821289j),(2.670318728695592+0.231575101831105j),(0.2253142614000346-0.0006017648975339947j),(0.11471793417562713-0.006507899094430987j)
(845.2625122070312-31.849035263061523j),(318.04791259765625-36.37647247314453j),(2.634646113173503+0.20119640473862116j),(0.21629953634473723-0.002373351792025221j),(0.11051136990951135-0.007179965548891334j)
(842.00830078125-31.714950561523438j),(321.98681640625-37.38484191894531j),(2.5915399505731105+0.20239760604067597j),(0.2095675499378708-0.00284806134916132j),(0.107590750560345-0.006960823621116721j)
(839.764404296875+7.843713760375977j),(323.77490234375-17.52084732055664j),(2.5847872450742844+0.16409973735714528j),(0.2050410070934894-0.0022074029573748238j),(0.10590277749174028-0.006347268513342361j)
(837.893798828125+8.494211196899414j),(328.0697021484375-18.99563980102539j),(2.543983533117485+0.17319126295311182j),(0.20253631285232862-0.0006196678655496023j),(0.10364759668117793-0.006639427521452269j)
(834.1647338867188+6.476827621459961j),(330.3592224121094-18.398761749267578j),(2.5161270591319416+0.15973657259516402j),(0.2017871418651929+0.0017564367778282039j),(0.10133088664543247-0.005909265973396176j)
(832.2996826171875+5.76060676574707j),(332.5478820800781-16.949996948242188j),(2.49543058013687+0.14451497084574652j),(0.20246844948794948+0.004757167959188603j),(0.09936782665701238-0.005423831747985391j)
(829.5844116210938+6.320796966552734j),(334.76214599609375-17.530006408691406j),(2.4703680188613233+0.14824365527157632j),(0.2042205275497512+0.008195793107765519j),(0.09615573857403659-0.00534386654321431j)
(826.30029296875+3.840787887573242j),(337.2139892578125-15.61931324005127j),(2.444601446700457+0.12462052278187502j),(0.20667249159968443+0.011848028950468163j),(0.09474269743679131-0.004481363101122601j)
(824.6690673828125-6.891796112060547j),(339.6459655761719-18.93389129638672j),(2.4216311628265705+0.11470504299602231j),(0.20946389537249077+0.015445888075482498j),(0.09456041304796482-0.004356809841397438j)
(822.5146484375-7.7212371826171875j),(342.56536865234375-17.840255737304688j),(2.3957206083367573+0.10222583585435682j),(0.21226263219889416+0.0186827248727805j),(0.09196358742033461-0.0042999320450113464j)
(820.0637817382812-8.142822265625j),(343.1820068359375-16.182785034179688j),(2.3854031900092907+0.08875653201918438j),(0.21477742144031853+0.021229876949884846j),(0.08930651550294451-0.00422548589509977j)
(820.9804077148438-12.09439468383789j),(343.2936706542969-13.455699920654297j),(2.3891916726974776+0.058416024620215244j),(0.21676420587429485+0.022763097425610616j),(0.08814023510214358-0.004027563826893489j)
(819.8063354492188-13.952962875366211j),(344.49072265625-11.027426719665527j),(2.3786223575487933+0.03563846588261214j),(0.218027537157782+0.022995255184511166j),(0.08580286186643868-0.003507051139483977j)
(818.0839233398438-32.66687774658203j),(345.2868957519531-21.925312042236328j),(2.365756017898511+0.05561479858603242j),(0.2184200021769799+0.02171065387196163j),(0.08359895809495048-0.003467568675796397j)
(818.7922973632812-35.8619499206543j),(344.2737121582031-19.05481719970703j),(2.3768021546300178+0.02738396898383654j),(0.21784425793727638+0.018795708120969427j),(0.08227710948955606-0.003222886130708372j)
(817.5455322265625-39.317108154296875j),(345.54803466796875-15.211833953857422j),(2.366361900937068-0.009609094856228347j),(0.21626262152954753+0.014260469652078079j),(0.08037510876492909-0.0028525796378934217j)
(816.5774536132812-43.25967788696289j),(347.38226318359375-10.70966911315918j),(2.3522630871569854-0.05201105661190411j),(0.21371794907831673+0.008245612543695503j),(0.07972753601686282-0.0033754943178193426j)
(816.9413452148438-51.57051467895508j),(347.3543701171875-2.4428133964538574j),(2.3528237200557593-0.13192004856783315j),(0.21036670653473824+0.001010310540764674j),(0.0775183332438906-0.0019243922491210899j)
(818.8776245117188-65.12859344482422j),(345.7277526855469+10.733508110046387j),(2.3604383781862817-0.26166362757297174j),(0.2065212847310196-0.007101282268617726j),(0.07729694434207471-0.001138121101970154j)
(829.5806274414062-77.31620788574219j),(338.5530090332031+23.92949104309082j),(2.4221289886504485-0.39957264657363206j),(0.20269508486896892-0.015712558314313074j),(0.0762872539701286-1.2458072963030498e-05j)
(840.8893432617188-95.6108627319336j),(322.5181884765625+45.03263854980469j),(2.5168011856137165-0.6478675258979398j),(0.1996426558884495-0.02447584337647862j),
(860.59130859375-110.1898193359375j),(302.6922302246094+59.87258529663086j),(2.6667799555549365-0.8915221559932399j),(0.1983901394053018-0.03312171795368472j),
(882.6005859375-115.35449981689453j),(279.06011962890625+74.4784164428711j),(2.8494688149756042-1.1738632710945414j),(0.20025904326096156-0.041462379470978646j),
(900.8107299804688-102.37692260742188j),(255.64939880371094+84.92899322509766j),(3.0535804017768062-1.4148847349331795j),(0.20689605450505089-0.04930064421459152j),
(913.5194091796875-61.747467041015625j),(230.73590087890625+91.14411163330078j),(3.3333244893521234-1.5843237442290898j),(0.22032422087345038-0.05617871557948181j),
(913.97265625+3.1678218841552734j),(215.54685974121094+112.1974105834961j),(3.3423145923244224-1.725059790601936j),(0.24300764724096025-0.06087562881678229j),
(912.7116088867188+125.91197967529297j),(177.24949645996094+136.76942443847656j),(3.5711680369395573-2.0452222688931774j),(0.27783843700854105-0.060525306660372036j),
(879.1472778320312+296.6593322753906j),(136.3965606689453+152.02163696289062j),(3.9557206075551585-2.2338964293427215j),(0.3277508471621268-0.04919559046937677j),
(798.74462890625+453.8133544921875j),(94.26764678955078+154.66259765625j),(4.434545531680186-2.4615547832695848j),(0.394250660331647-0.015839869133696033j),
