Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_Impedance
(833.7728271484375-30.121414184570312j),(325.20672607421875-88.5945053100586j),(2.4101837597629716+0.5639724181968794j),(0.1646784762151172-0.13007377709510168j),(0.09814213608878013-0.0018996595459348134j)
(826.9234619140625-40.83796691894531j),(330.1727600097656-77.66951751708984j),(2.4007615518470367+0.4410661390790887j),(0.18622673981863555-0.10464180259237355j),(0.09808125599911387-0.001511925207166972j)
(830.3482055664062-48.22661590576172j),(326.9791564941406-71.09962463378906j),(2.4554269898002974+0.38642622587772874j),(0.2000675153681574-0.08123522877852798j),(0.09839392037164768-0.001189700193562596j)
(827.5933227539062-55.62310791015625j),(331.4880065917969-64.20649719238281j),(2.437650140730832+0.30435450755516447j),(0.20831175374903949-0.06112152820388618j),(0.0967375536219191-0.0015287595161881514j)
(826.6793212890625-55.258968353271484j),(331.80682373046875-57.07503128051758j),(2.4476718362048784+0.2544913854187556j),(0.21270824351537387-0.04467880790530739j),(0.09634010505127025-0.0009092712616058798j)
(826.8244018554688-59.049259185791016j),(332.6163635253906-52.002174377441406j),(2.4536018913738067+0.2060733678155837j),(0.21457634724367014-0.03177049529936704j),(0.09545938174061662-0.0010717327906419134j)
(823.80615234375-62.55757522583008j),(334.5777893066406-49.95246505737305j),(2.4358451962395575+0.17669701550425967j),(0.2148511796581757-0.021999364632281512j),(0.09576452336515176-0.00041701897053750617j)
(822.3417358398438-64.26708984375j),(336.0828552246094-46.33171844482422j),(2.4270778107769266+0.1433682057260704j),(0.21416605343307835-0.014864561595293082j),(0.09455415933703984-0.0014410526466265144j)
(822.1046752929688-65.87934875488281j),(338.111083984375-45.52082061767578j),(2.4139407764002274+0.13015017369663792j),(0.21293529031282232-0.00985144106527168j),(0.09518563877147132-0.0009312161790534854j)
(819.2789916992188-69.73596954345703j),(338.08056640625-41.138511657714844j),(2.412700208192621+0.08731328869810016j),(0.21142276151727973-0.006478851243099138j),(0.09449927542464946-0.0022603199244174512j)
