Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_Impedance
(852.640625-36.044281005859375j),(305.41485595703125-82.73574829101562j),(2.6306653940471+0.5946200236554866j),(0.1690396299342954-0.12638483645126067j),(0.0942736086671192-0.0016911340045520148j)
(848.0588989257812-46.90273666381836j),(309.7534484863281-73.62238311767578j),(2.6255198175220236+0.47261552676886437j),(0.19146579407384226-0.10361867836989351j),(0.09329808221769334-0.0008699878722292754j)
(847.5357055664062-52.48626708984375j),(309.25482177734375-65.3216323852539j),(2.6578426346561352+0.39167813692563413j),(0.20688181309779463-0.08186478913930147j),(0.09248398238055355-0.0010787589212931546j)
(848.2755126953125-58.13037109375j),(309.1404113769531-59.110687255859375j),(2.681883295743658+0.3247637318281436j),(0.21688247611289435-0.062498854812290665j),(0.09084289153479183-0.0017519590403025451j)
(848.949462890625-60.294708251953125j),(310.9481506347656-50.596717834472656j),(2.6905114517886615+0.24388741450882986j),(0.22290147365596263-0.04611293469609934j),(0.0921941908590615-0.00071881397089777j)
(847.9425048828125-61.67743682861328j),(311.90582275390625-48.476219177246094j),(2.6844742712523963+0.21947562798244857j),(0.22609644902065806-0.03279747396427581j),(0.0894535004717469-0.002534166354877917j)
(845.292236328125-62.684776306152344j),(314.19610595703125-47.50259017944336j),(2.6597017634316313+0.2026057782217994j),(0.2273415888543198-0.02235196320124994j),(0.0905442937794616-0.002258716666261676j)
(845.41552734375-68.60527038574219j),(314.9210510253906-42.64817810058594j),(2.6651551097538104+0.14307947739286603j),(0.22726778421206276-0.01442804858589225j),(0.0877315061907953-0.0016123494764332166j)
(842.160888671875-67.07835388183594j),(316.83251953125-45.151615142822266j),(2.6347262626918333+0.163757787283558j),(0.22631653731088136-0.008620334507714728j),(0.09104442508155627-0.002708442841222829j)
(843.8615112304688-67.6880111694336j),(316.5844421386719-44.04098892211914j),(2.6440917405395523+0.15402021512913533j),(0.22479104302238645-0.004520674213458983j),(0.08704691964859014-0.002382564401752485j)
(840.6797485351562-59.719383239746094j),(320.3869323730469-36.37488555908203j),(2.6114522673860434+0.11009155045174318j),(0.2228979348140924-0.0017485533788116987j),(0.08717884344448627-0.0035048500341421348j)
(842.822021484375-58.84449005126953j),(317.4397277832031-38.01969909667969j),(2.6394018418754412+0.1307485174017121j),(0.22077845412778685+3.3521831009749146e-05j),(0.0851462626005933-0.0029482620993108504j)
(839.566162109375-57.955360412597656j),(321.9411926269531-37.25929641723633j),(2.593915346052039+0.12018375167047232j),(0.2185302151299812+0.0011137514738905937j),(0.08312206320197778-0.00320301209760973j)
(838.2346801757812-57.597869873046875j),(321.6841735839844-39.77986526489258j),(2.5883297640541203+0.1410250895986132j),(0.21622158391707386+0.0017301547361992793j),(0.08204616470646467-0.0029524044473424574j)
(836.1634521484375-59.04645538330078j),(323.4647216796875-37.72745895385742j),(2.571333181466629+0.11736492152849524j),(0.21390075096966477+0.0020727513896893436j),(0.08111630058435478-0.0029741651957136627j)
(836.4204711914062-36.594322204589844j),(327.90606689453125-30.60813331604004j),(2.539086704714797+0.12540903114040947j),(0.21160128733786662+0.0022873801431523657j),(0.07929359182843775-0.0025890708629702267j)
(835.5067138671875-38.0046501159668j),(328.660888671875-29.816898345947266j),(2.531806872579469+0.11405670503353006j),(0.20934557338592763+0.0024802719005153203j),(0.07898432459478472-0.002507362777746475j)
(833.5333251953125-37.31288146972656j),(330.30096435546875-30.428730010986328j),(2.512639515452744+0.11850873047647041j),(0.207147091087078+0.002722842782045636j),(0.07692581015243835-0.0024768960197124636j)
(830.9227905273438-39.70545196533203j),(332.00689697265625-28.904054641723633j),(2.494234729238109+0.09755232566906123j),(0.20501222864103807+0.0030563986085801152j),(0.07770175625177551-0.0019016226696979047j)
(829.4152221679688-38.914306640625j),(333.8216552734375-29.593761444091797j),(2.475485071391414+0.1028831038310291j),(0.20294197622863633+0.0034965955632738897j),(0.07449308860055057-0.0018563523125669974j)
(827.8987426757812-40.610443115234375j),(334.7525939941406-28.06106948852539j),(2.4660071397752024+0.08540144305408347j),(0.2009336929070616+0.004037604441476825j),(0.07368466221498035-0.0018500328685374556j)
(828.2096557617188-0.2690238952636719j),(336.42694091796875-10.273391723632812j),(2.4595125459446217+0.07430591578131157j),(0.19898298815540857+0.004655989810041011j),(0.07269341186249065-0.002010507697394387j)
(825.675537109375-0.10528182983398438j),(339.3484802246094-9.202665328979492j),(2.4313402479013133+0.06562436571909792j),(0.19708567645798394+0.005314347044601924j),(0.07229244835469426-0.002000876729996277j)
(824.6469116210938-2.4995956420898438j),(340.42803955078125-9.509735107421875j),(2.420698591467417+0.060278838267120764j),(0.19523971926228717+0.005964745011816532j),(0.07095404847922424-0.001782238999699754j)
(823.8651733398438-0.5257511138916016j),(341.33343505859375-9.521459579467773j),(2.4118330391131297+0.06573753806625235j),(0.19344705692352623+0.006552006155823072j),(0.07009942023437715-0.001511383568971958j)
(822.2802124023438-2.392059326171875j),(342.1891784667969-7.58905029296875j),(2.4019724769720088+0.046280337311812664j),(0.19171524644879662+0.007016825961532003j),(0.06974147252129834-0.0017222282104394052j)
(821.8861694335938-3.4719791412353516j),(343.302490234375-7.3779706954956055j),(2.3931702966096737+0.04131855019984653j),(0.19005885221778415+0.0072986977974253955j),(0.06794415598577176-0.0017237467585762922j)
(820.9847412109375-14.37946891784668j),(343.8151550292969-10.929130554199219j),(2.3867843544113665+0.03404739065454447j),(0.18850057953542013+0.007338574412500974j),(0.06865660499326824-0.0021573641914635787j)
(821.5235595703125-14.556814193725586j),(344.340087890625-10.267940521240234j),(2.3849311733021197+0.02884217548363663j),(0.18707218756305163+0.007081170414242308j),(0.06566838773517807-0.0018506326778483712j)
(820.0366821289062-16.640827178955078j),(344.3268737792969-10.443130493164062j),(2.380840301426379+0.023880212084448266j),(0.18581526129155676+0.00647679610641963j),(0.06314323535551862-0.0008302201564325892j)
(821.4859008789062-17.686742782592773j),(343.6966857910156-7.619812965393066j),(2.390113972262349+0.0015289022959578643j),(0.18478195463095862+0.005482616036362272j),(0.06381808671781938-0.0015673682950410692j)
(821.2623901367188-19.890178680419922j),(344.050537109375-6.035510540008545j),(2.387319479525757-0.015932214044566115j),(0.1840358329222925+0.004063248613543832j),(0.06351810781476315-0.0014043999977220727j)
(818.5174560546875-40.19664001464844j),(347.0058288574219-14.715690612792969j),(2.3594694595227175-0.015779035919964407j),(0.18365294086818115+0.002190669400868029j),(0.06172843316493868-0.0013191305660821885j)
(821.269287109375-40.490684509277344j),(343.3075866699219-14.286444664001465j),(2.3929899253054123-0.018360696368615453j),(0.1837232032142385-0.00015654566984854492j),(0.06131382030467764-0.0014062773184561708j)
(821.6343383789062-43.669376373291016j),(342.1627197265625-10.194254875183105j),(2.402966545246673-0.05603451764070076j),(0.18435223828424147-0.0029944940339008026j),(0.05986782885071449-0.0010408292806326578j)
(821.2327880859375-48.063385009765625j),(342.6719970703125-5.6513142585754395j),(2.398217350145613-0.10070944051096063j),(0.18566364229737806-0.006335446521244853j),(0.059489344593613845-0.0010689873095484912j)
(822.603515625-55.5968017578125j),(341.8127746582031+1.7822270393371582j),(2.405677427417098-0.17519610019479168j),(0.1878018034867337-0.010189086477702076j),(0.058466142786702535-0.00025100193513714924j)
(825.6068115234375-67.99600982666016j),(339.154296875+15.14533519744873j),(2.4205303985133337-0.30857858807058275j),(0.19093534866498446-0.014562747098764196j),(0.0579656193143462-0.00030706219003013874j)
(835.1806640625-83.34555053710938j),(329.2279357910156+31.213449478149414j),(2.4903993424165916-0.48926438822705126j),(0.19526142454591155-0.019459587800224422j),(0.05756621757824518+0.0002751266218273103j)
(848.2882690429688-98.1778335571289j),(315.5950927734375+47.254764556884766j),(2.5834015810460103-0.6979065013012146j),(0.2010111683697992-0.02487325904121925j),
(868.6292114257812-110.96885681152344j),(295.2854309082031+60.7831916809082j),(2.747868630708292-0.94143853169729j),(0.20845689022655786-0.030777125289192967j),
(889.3690795898438-114.00420379638672j),(271.6688232421875+73.56089782714844j),(2.9442295362774873-1.216865328707439j),(0.2179215794702563-0.03710551537855765j),
(907.4695434570312-100.33570861816406j),(246.89923095703125+82.35303497314453j),(3.185512135380034-1.4689081837343165j),(0.22979117868031393-0.04372368550373927j),
(922.041259765625-60.734901428222656j),(224.88824462890625+90.49384307861328j),(3.4351064055802705-1.6523357282027544j),(0.24452932871201918-0.05038211138185665j),
(919.291259765625+9.882183074951172j),(209.6146697998047+110.02946472167969j),(3.4576676109362285-1.7678301508943166j),(0.2626924709304152-0.05664925077721087j),
(915.459716796875+135.40231323242188j),(173.3778839111328+134.22825622558594j),(3.679407207163811-2.067611462559853j),(0.2849394998825792-0.06181497506321988j),
(879.9369506835938+301.41552734375j),(134.2552947998047+147.17340087890625j),(4.094711211732718-2.243613912979017j),(0.31202336077502174-0.06475467995369297j),
(795.0512084960938+461.1858825683594j),(94.02645874023438+150.1083221435547j),(4.589343402265989-2.4217944431522187j),(0.34474024630793826-0.06374264152584305j),
